GEOID,population_18_up,degree_18_up,attainment_rate
06031,109020,12774,.11717116
06033,50967,7249,.14222929
06035,26445,2833,.107128
06037,7832142,2229971,.28472045
06039,111693,13763,.12322169
06041,207701,112558,.54192322
06043,14756,3387,.22953375
06045,68459,15661,.22876467
06047,187526,22921,.12222838
06049,7259,1142,.15732194
06051,11320,3170,.28003535
06053,318859,67793,.21261121
06055,110659,34783,.31432599
06057,81466,27221,.33413941
06059,2439049,870192,.35677513
06061,289706,100320,.34628209
06063,15658,3295,.21043555
06065,1741281,335675,.19277474
06067,1133511,308320,.27200443
06069,43042,7496,.17415547
06071,1547497,274142,.17715187
06073,2555203,857993,.33578271
06075,748311,401690,.53679556
06077,523789,85287,.16282701
06079,229353,66089,.28815407
06081,601216,275131,.45762423
06083,343710,97496,.28365773
06085,1476210,688241,.4662216
06087,218916,74154,.33873266
06089,140152,27680,.19749986
06091,2459,514,.20902807
06093,34715,7364,.21212733
06095,336083,77985,.2320409
06097,398997,123430,.3093507
06099,389349,58737,.1508595
06101,70463,11229,.15936023
06103,48120,6403,.13306318
06105,10874,2004,.18429281
06107,314966,38253,.12145121
06109,44852,8527,.19011416
06111,645493,189885,.2941705
06113,166894,55681,.33363092
06115,53979,8076,.14961374
08001,353442,74590,.21103887
08003,12369,2730,.22071308
08005,474197,182191,.38420951
08007,10399,3520,.33849409
08009,2831,575,.20310844
08011,4903,475,.09687946
08013,253646,131359,.51788318
08014,48787,24643,.50511408
08015,15963,4913,.30777422
08017,1464,306,.2090164
08019,7733,3311,.42816502
08021,5905,1013,.17154953
08023,2963,582,.19642255
08025,4795,325,.067778938
08027,3811,1180,.30963001
08029,24061,4401,.1829101
08031,539843,234958,.43523395
08033,1375,293,.21309091
08035,231733,124428,.53694552
08037,41641,17348,.41660863
08039,19074,6245,.32740903
08041,507297,167927,.33102304
08043,39141,6256,.1598324
08045,42985,11838,.2753984
08047,4727,1690,.35752064
08049,12238,4545,.3713842
08051,13344,5776,.43285373
08053,672,271,.40327382
08055,5462,1215,.22244599
08057,1082,164,.15157117
08059,447861,179754,.40136114
08061,990,199,.20101011
08063,6054,912,.1506442
08065,6144,1785,.29052734
08067,43965,17120,.38940066
08069,263746,105944,.4016895
08071,11588,2092,.18053159
08073,4422,539,.12189054
08075,17208,2906,.16887495
08077,115887,28184,.24320243
08079,752,285,.37898937
08081,9689,1545,.15945917
08083,19972,5169,.25881234
08085,31766,6926,.21803185
08087,20697,3219,.15552978
08089,13995,2258,.16134334
08091,3968,1895,.47757056
08093,14089,3877,.27517921
08095,3249,645,.19852263
08097,14867,8605,.57879871
08099,9007,1309,.14533141
08101,125655,24972,.19873463
08103,4967,898,.18079324
08105,8719,1882,.21585044
08107,19753,9393,.4755227
08109,4935,1216,.24640325
08111,475,129,.27157894
08113,6355,3369,.53013372
08115,1840,354,.19239131
08117,24921,10859,.43573692
08119,19399,6224,.32084128
08121,3716,590,.15877287
08123,209263,50549,.24155727
08125,7389,1454,.196779
09001,727693,314889,.43272233
09003,705087,244718,.3470749
09005,149240,49460,.33141249
09007,133237,50456,.37869361
09009,682868,219370,.32124802
09011,216620,65574,.30271444
09013,124092,40456,.32601619
09015,92909,20577,.22147478
10001,132594,28259,.21312428
10003,433046,141390,.3265011
10005,174039,41206,.23676303
11001,554333,287086,.51789451
12001,213109,73544,.3451004
12003,20814,2548,.12241761
12005,141213,29021,.20551224
12007,21310,2188,.1026748
12009,462200,122669,.26540244
12011,1483776,432722,.29163566
12013,11325,995,.087858722
12015,150986,32105,.21263561
12017,120138,20336,.16927201
12019,154247,33938,.22002372
12021,292784,95874,.32745641
12023,53491,7812,.14604326
12027,28516,2911,.10208304
12029,13264,1150,.086700842
12031,704409,185636,.2635344
12033,244787,56398,.23039623
12035,86306,18943,.21948647
12037,9764,1657,.16970503
12039,35923,5304,.14764914
12041,13646,1484,.10874981
12043,11039,1077,.097563185
12045,13497,2308,.17100096
12047,11517,1015,.088130586
12049,20042,1844,.092006788
12051,28340,2083,.07350035
12053,145632,23161,.15903784
12055,82536,13146,.15927595
12057,1039380,305962,.29436973
12059,15644,1638,.10470468
12061,122500,32118,.26218775
12063,39415,5095,.1292655
12065,11779,2316,.19662111
12067,6855,867,.12647702
12069,261849,55054,.21025094
12071,571642,145352,.25427103
12073,232040,84456,.36397174
12075,31735,3481,.10968962
12077,6837,651,.095217198
12079,14967,1677,.1120465
12081,293952,80058,.27235058
12083,279163,50711,.18165372
12085,129564,39416,.30422032
12086,2149303,551826,.2567465
12087,65139,19323,.29664257
12089,62503,15795,.25270787
12091,153609,41492,.27011439
12093,31356,3201,.10208572
12095,998307,294806,.29530597
12097,243760,42121,.17279701
12099,1148653,371410,.32334396
12101,396198,84200,.21252
12103,789712,223633,.28318298
12105,504936,90298,.17883058
12107,56696,6533,.11522859
12109,176682,70243,.39756739
12111,237217,43389,.18290848
12113,129387,32109,.24816249
12115,345102,110582,.32043281
12117,352889,121318,.34378517
12119,108160,32328,.29889053
12121,34361,4338,.12624778
12123,18033,1479,.082016304
12125,12406,947,.076334029
12127,425388,89640,.21072526
12129,25001,4048,.16191353
12131,50514,12613,.24969316
12133,19620,1973,.10056065
13001,13836,1443,.10429315
13003,5994,428,.07140474
13005,8370,889,.10621266
13007,2596,255,.098228045
13009,36739,5946,.16184436
13011,14092,1549,.10992052
13013,54840,8558,.15605398
13015,77007,13573,.1762567
